brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure
特斯拉,Model Y,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6180aeadc5934c81906060f03bc651ff~tplv-resize:640:0.png,22537,"[25.89, 36.39]",特斯拉中国,1,中型SUV,纯电动,2024.02,4年或8万公里
特斯拉,Model Y,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/6180aeadc5934c81906060f03bc651ff~tplv-resize:640:0.png,22537,"[25.89, 36.39]",特斯拉中国,1,中型SUV,纯电动,2024.02,4年或8万公里
比亚迪,秦PLUS DM-i,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b16feb96960c4b178686faea93e71f3c~tplv-resize:640:0.png,21268,"[7.98, 12.58]",比亚迪,2,紧凑型车,插电式混合动力,2024.02,6年或15万公里
AITO,问界M7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ec234ea1f5a64f9b940ac268fa562ec4~tplv-resize:640:0.png,21083,"[24.98, 37.98]",赛力斯汽车,3,中大型SUV,增程式,2023.09,4年或10万公里
日产,轩逸,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f5483079e6094fb898c14f3b3d6c1493~tplv-resize:640:0.png,19878,"[7.66, 15.99]",东风日产,4,紧凑型车,汽油,2024.01,3年或10万公里
长安,长安CS75 PLUS,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/dec41a8d4fcc422bbb34c1a71dd76a1d~tplv-resize:640:0.png,17303,"[10.29, 15.49]",长安汽车,5,紧凑型SUV,汽油,2023.04,3年或10万公里
比亚迪,海鸥,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/af600c6bd2844b1fa774fd19a23466da~tplv-resize:640:0.png,14403,"[6.98, 8.58]",比亚迪,6,小型车,纯电动,2024.03,6年或15万公里
大众,朗逸,https://p9-dcd.byteimg.com/img/motor-mis-img/28d677a5f94a5a24103f088dd94c8515~tplv-resize:640:0.png,14400,"[7.39, 12.69]",上汽大众,7,紧凑型车,汽油,2023.09,3年或10万公里
大众,速腾,https://p3-dcd.byteimg.com/img/motor-mis-img/44c013067df2032cc03b6031eb68bf05~tplv-resize:640:0.png,14209,"[9.99, 14.49]",一汽-大众,8,紧凑型车,汽油,2022.06,3年或10万公里
五菱汽车,五菱宏光MINIEV,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/287e133f10e1402386d901c399885fbf~tplv-resize:640:0.png,12649,"[3.18, 9.89]",上汽通用五菱,9,微型车,纯电动,2023.11,3年或12万公里
大众,帕萨特,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c9ddb9ea9b9047029212858b14caba31~tplv-resize:640:0.png,11641,"[15.19, 22.29]",上汽大众,10,中型车,汽油,2023.10,3年或10万公里
奔驰,奔驰GLC,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/ced6f5cfd808493d8380351b584516c2~tplv-resize:640:0.png,11435,"[35.98, 46.33]",北京奔驰,11,中型SUV,48V轻混系统,2023.09,3年不限公里
奔驰,奔驰C级,https://p9-dcd.byteimg.com/img/motor-mis-img/fd1771f592228d51d414ac0e5fa2469c~tplv-resize:640:0.png,11303,"[23.07, 27.65]",北京奔驰,12,中型车,48V轻混系统,2023.10,3年不限公里
丰田,卡罗拉锐放,https://p9-dcd.byteimg.com/img/motor-mis-img/58d617d55bda2d2a8aeb9b9d0e8ca823~tplv-resize:640:0.png,11017,"[10.38, 15.88]",一汽丰田,13,紧凑型SUV,汽油,2023.05,3年或10万公里
哈弗,哈弗H6,https://p3-dcd.byteimg.com/img/motor-mis-img/418e967314e8e89e55e3b3b359377177~tplv-resize:640:0.png,10848,"[8.39, 13.48]",长城汽车,14,紧凑型SUV,汽油,2023.04,3年或10万公里
丰田,锋兰达,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/2e716928f981407b80c5e8772b8141a2~tplv-resize:640:0.png,10774,"[9.88, 15.58]",广汽丰田,15,紧凑型SUV,汽油,2023.03,3年或10万公里
大众,迈腾,https://p9-dcd.byteimg.com/img/motor-mis-img/89991e9322440768e5f67b551d6e7ee5~tplv-resize:640:0.png,10217,"[15.39, 22.09]",一汽-大众,16,中型车,汽油,2022.10,3年或10万公里
大众,途观L,https://p3-dcd.byteimg.com/img/motor-mis-img/8201ed0a4daa11da0ecfc31209187bde~tplv-resize:640:0.png,10214,"[16.17, 22.38]",上汽大众,17,中型SUV,汽油,2023.11,3年或10万公里
吉利汽车,星越L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e089916842c943ab8277e180dfb3240b~tplv-resize:640:0.png,10138,"[12.72, 17.52]",吉利汽车,18,紧凑型SUV,汽油,2024.01,4年或10万公里
奥迪,奥迪A6L,https://p3-dcd.byteimg.com/img/motor-mis-img/f8250b5672059b6380b04eeeb0d7fe33~tplv-resize:640:0.png,10019,"[33.38, 52.87]",一汽-大众奥迪,19,中大型车,汽油,2023.10,3年或10万公里
